Notification ID,Alarm Number,Alarm Type,Severity,Alarm Time,Probable Cause,Probable Cause Code,Alarm Text,Distinguished Name,Object Class,Acknowledgement State,Acknowledgement Time/UnAcknowledgement Time,Acknowledgement User,Cancel State,Cancel Time,Cancel User,Name,Maintenance Region Name,Site Name,Site Priority,Site Address,Extra Information,Diagnostic Info,User Additional Information,Supplementary Information,Additional Information 1,Additional Information 2,Additional Information 3,Correlation Indicator,Notes Indicator,Trouble Ticket Indicator,Alarm Sound,Instance Counter,Consecutive Number,Alarm Insertion Time,Alarm Update Time,Controlling Object Name,Origin Alarm Time,Origin Alarm Update Time,Origin Acknowledgement/UnAcknowledgement Time,Origin Cancel Time,Related DN's
c45334b698ad24af82c33f2cebfa130de79d126,7103,Environmental,Critical,2023-06-05 13:13:19,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-851596/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-5,APEQM_R,false,,,false,,,,,eIUKH91_USFK,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-5 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090608771,2023-06-05 13:13:22,2023-06-05 13:13:19,,2023-06-05 13:13:19 +05:00,2023-06-05 13:13:19 +05:00,,,
c5198e93c7dd6a32bb4c35763c8d2d4f1a6a6df0,7103,Environmental,Critical,2023-06-05 12:53:56,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-813015/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-22,APEQM_R,false,,,false,,,,,eICMK04_ECO_HOST,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-22 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090598762,2023-06-05 12:56:02,2023-06-05 12:53:56,,2023-06-05 12:53:56 +05:00,2023-06-05 12:53:56 +05:00,,,
88131b0f7a8654a34998f5556823ff4d62c8efb0,7103,Environmental,Critical,2023-06-05 10:32:50,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850802/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-23,APEQM_R,false,,,false,,,,,eIBZG01_ZG_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-23 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090528663,2023-06-05 10:32:59,2023-06-05 10:32:50,,2023-06-05 10:32:50 +05:00,2023-06-05 10:32:50 +05:00,,,
5a111eef5b2bca86bd5c652af5222d2c9c4309a9,7103,Environmental,Critical,2023-06-05 10:14:49,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-814778/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-17,APEQM_R,false,,,false,,,,,eIPU003_Enfrashare_HOST,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-17 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090521218,2023-06-05 10:14:51,2023-06-05 10:14:49,,2023-06-05 10:14:49 +05:00,2023-06-05 10:14:49 +05:00,,,
f342b7147aabf26e2c2a42903c55e916cde42f3b,7103,Environmental,Critical,2023-06-05 07:09:54,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-851482/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-11,APEQM_R,false,,,false,,,,,eIUBJ33_USFM,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-11 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090446079,2023-06-05 07:12:07,2023-06-05 07:09:54,,2023-06-05 07:09:54 +05:00,2023-06-05 07:09:54 +05:00,,,
80768a2f1c76c7f2f9384e818e38cc0469959066,7103,Environmental,Critical,2023-06-05 06:02:16,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-850110/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-9,APEQM_R,false,,,false,,,,,eIMD002_MHS_IP_AGG_DWDM_GLO_GEM_OD_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-9 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090421477,2023-06-05 06:02:17,2023-06-05 06:02:16,,2023-06-05 06:02:16 +05:00,2023-06-05 06:02:16 +05:00,,,
a2c32e8c670918066fafefc7410f0fab31e76c26,7103,Environmental,Critical,2023-06-05 05:24:12,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-812508/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-12,APEQM_R,false,,,false,,,,,eZLD012_HCB_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-12 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090411220,2023-06-05 05:24:27,2023-06-05 05:24:12,,2023-06-05 05:24:12 +05:00,2023-06-05 05:24:12 +05:00,,,
cf6988216816877e5df412b4574ffd7772d92137,7103,Environmental,Critical,2023-06-04 20:28:00,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-813195/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-9,APEQM_R,false,,,false,,,,,eITSH31_TOF_ON_E.CO_HOST,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-9 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090234207,2023-06-04 20:28:05,2023-06-04 20:28:00,,2023-06-04 20:28:00 +05:00,2023-06-04 20:28:00 +05:00,,,
e9e95c561faab38396f1a6087c03b7d2bca64709,7103,Environmental,Critical,2023-06-04 18:17:29,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-840778/EQM_R-1/APEQM_R-1/CABINET_R-1/SMOD_R-1/EAC_R-12,APEQM_R,false,,,false,,,,,eIRP631_MHS_IP_AGG_UG_SWP,null,,,1401 unitName=FSMF path=/SMOD_R-1/EAC_R-12 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090173339,2023-06-04 18:17:34,2023-06-04 18:17:29,,2023-06-04 18:17:29 +05:00,2023-06-04 18:17:29 +05:00,,,
56de51ed262ae16d9f4aa52764a5559d61205710,7103,Environmental,Critical,2023-06-04 17:43:55,Indeterminate,0,BASE STATION EXTERNAL ALARM NOTIFICATION,PLMN-PLMN/MRBTS-841247/EQM_R-1/APEQM_R-1/CABINET_R-2/SMOD_R-1/EAC_R-11,APEQM_R,false,,,false,,,,,eIRP228_E.CO_HOST,null,,,1401 unitName=FSMF path=/SMOD_R-1(Primary)/EAC_R-11 additionalFaultID=1401 EAC_IN-2,affected_cells=none,RECTIFIER MODULE FAULTY,,,,false,false,,false,1,1090157949,2023-06-04 17:47:20,2023-06-04 17:43:55,,2023-06-04 17:43:55 +05:00,2023-06-04 17:43:55 +05:00,,,
